String ID,English text,en(English),fr,es,ko(Korean),ar(Arabic),pt(Portuguese),sv-rSE(Swedish),fi-rFI(French),bg-rBG(Bulgarian),es-rES(Spanish),pl-rPL(Polish),zh-rCN(Chinese Simplified),el-rGR(Greek),de-rDE(German),th-rTH(Thai),ru-rRU(Russian),hr-rHR(Croatian),nn-rNO(Norwegian),sr-rCS,fr-rCA(French),sl-rSI(Slovenian),es-rMX,hu-rHU(Hungarian),da-rDK(Danish),uk-rUA(Ukrainian),it-rIT(Italian),tr-rTR(Turkey),ro-rRO(Romanian),en-rGB(English),en-rAU(English),cs-rCZ(Czech),nl-rNL(Dutch),sk-rSK(Slovencina),es-rUS(English),fr-rFR(French)
acquiringLocalTrafficOnSplash,Acquiring Local Traffic,Acquiring Local Traffic,,,지역 교통 정보 수신 중,جاري البحث عن بيانات حركة المرور المحلية,A adquirir informações de tráfego local...,Hämtar lokaltrafik,Noudetaan paikallisia liikennetietoja,Проучване на местен трафик,Adquiriendo tráfico local...,Pobieranie lokalnych informacji o ruchu drogowym,正在获取当地交通信息,Λήψη πληροφοριών κίνησης στις τοπικές οδούς,Örtliche Verkehrsinformationen werden abgerufen...,กำลังเรียกข้อมูลการจราจร,Загрузка информации местного дорожного движения,Dohvaćanje lokalnih podataka o prometu,Henter lokal trafikk,Preuzimanje podataka o lokalnom saobraćaju je u toku...,Acquisition de la circulation locale,Pridobivanje informacij o lokalnem prometu,Adquiriendo Tráfico Local,Helyi forgalmi adatok lekérése,Henter info om lokaltrafik,Завантаження інформації про ДР із місцевих джерел,Acquisizione traffico locale...,Yerel Trafik Bilgileri Alınıyor,Se obține traficul local,,,Stahování informací o místní dopravě...,Lokale verkeersinformatie opvragen,Získavajú sa informácie o miestnej premávke,Adquiriendo Tráfico Local,Acquisition des des données du trafic local...
actionFailed,Action Failed,Action Failed,,,실행 안됨,فشل الإجراء,A ação falhou,Åtgärden misslyckades,Toiminto epäonnistui,Неуспешно действие,Fallo en la acción,Operacja nie powiodła się,操作失败,Η ενέργεια απέτυχε,Aktion fehlgeschlagen.,การดำเนินการล้มเหลว,Действие не выполнено,Radnja nije uspjela,Kan ikke gjøre dette,Radnja nije uspela.,L\'action a échoué.,Dejanje ni uspelo,Falló la Acción,Művelet sikertelen,Handlingen blev ikke udført,Не вдалося виконати цю дію,Azione non riuscita,İşlem Sonuçsuz,Acțiune eșuată,,,Akce se nezdařila,Actie mislukt,Akcia zlyhala,Falló la Acción,Échec de l\'action
addNewDestination,Add New Destination,Add New Destination,Ajouter une nouvelle destination,,새 목적지 추가,إضافة وجهة جديدة,Adicionar novo destino,Lägg till ny destination,Lisää uusi määränpää,Добавяне на нова дестинация,Añadir nuevo destino,Dodaj nowy cel podróży,添加新目的地,Προσθήκη νέου προορισμού,Neues Ziel hinzufügen,เพิ่มจุดหมายปลายทางใหม่,Добавить новый пункт назначения,Dodavanje novog odredišta,Legg til nye destinasjoner,Dodavanje novog odredišta,,Dodaj nov cilj,Agregar Nuevo Destino,Új úti cél hozzáadása,Tilføj ny destination,Додати новий пункт призначення,Aggiungi nuova destinazione,Yeni Varış Yeri Ekle,Adăugare destinație nouă,,,Přidat nový cíl,Nieuwe bestemming toevoegen,Pridať nový cieľ,Agregar Nuevo Destino,
addressCustom,Custom,Custom,,,사용자 지정,مخصص,Personaliz,Egen,Mukautettu,Друг,Personalizado,Własne,自定义,Προσαρμ.,Eigene,ที่อยู่ที่ตั้งเอง,Настроить,Prilagođeno,Tilpass,Prilagođeno,Personnaliser,Po meri,Personalizar,Egyedi,Tilpas,Інше,Personalizza,Kullnc. Tanımı,Altele,,,Vlastní,Aangepast,Vlastné,Personalizar,Person.
addressFormatHint,Keyword or Address,Keyword or Address,Mot-clé ou adresse,Palabra clave o dirección,키워드 또는 주소,كلمة أساسية أو عنوان,Palavra-chave ou endereço,Nyckelord eller adress,Hakusana tai osoite,Ключова дума или адрес,,Słowo kluczowe lub adres,关键字或地址,Λέξη-κλειδί ή διεύθυνση,Suchbegriff oder Adresse,ที่อยู่,Ключевое слово или адрес,Ključna riječ ili adresa,Nøkkelord eller adresse,Ključna reč ili adresa,,Ključna beseda ali naslov,,Kulcsszó vagy cím,Nøgleord eller adresse,Ключове слово або адреса,Parola chiave o indirizzo,Anahtar Kelime veya Adres,Cuvânt-cheie sau adresă,,,Klíčové slovo nebo adresa,Trefwoord of adres,Kľúčové slovo alebo adresa,,
addressHintText,Tap to set up,Tap to set up,,,,,Toque para configurar,Tryck för att konfigurera,,,Toca para configurar,"Dotknij, aby skonfigurować",,Πατήστε για ρύθμιση,Zum Einrichten tippen,แตะเพื่อตั้งค่า,,,Trykk for å sette opp,,Appuyez pour configurer,,,,Tryk for at konfigurere,,Tocca per configurare,,,,,,Tik om in te stellen,,,
addressHome,Home,Home,,Casa,집,المنزل,Casa,Hemma,Koti,Дом,,Dom,家,Σπίτι,Zuhause,บ้าน,Дом,Kuća,Hjem,Kuća,Maison,Doma,,Otthon,Hjem,Дім,Casa,Ev,Acasă,,,Domů,Thuis,Domov,,Domicile
addressItemLabel,Address,Address,Adresse,Dirección,주소,العنوان,Endereço,Adress,Osoite,Адрес,,Adres,地址,Διεύθυνση,Adresse,ที่อยู่,Адрес,Adresa,Adresse,Adresa,,Naslov,,Cím,Adresse,Адреса,Indirizzo,Adres,Adresă,,,Adresa,Adres,Adresa,,
addressSearchFirstHint,Street,Street,Rue,Calle,도로명,الشارع,Rua,Gata,Katu,Улица,,Ulica,街道,Οδός,Straße,,Улица,Ulica,Vei,Ulica,,Ulica,,Utca,Gade,Вулиця,Via,Sokak / Cadde,Stradă,,,Ulice,Straat,Ulica,,
addressSearchSecondHint,Number,Number,Numéro,Número,거리번호,الرقم,Número,Nummer,Numero,Номер,,Numer,号码,Αριθμός,Hausnummer,,Номер,Broj,Nummer,Broj,,Številka,,Szám,Nummer,Номер,Nr. civico,Numara,Număr,,,Číslo,Nummer,Číslo,,
addressSearchThirdHint,"City, Country","City, Country","Ville, pays","Ciudad, País","도시, 국가",المدينة، الدولة,"Cidade, País","Stad, land","Paikkakunta, maa","Град, държава",,"Miejscowość, kraj",城市，国家,"Πόλη, Χώρα","Stadt, Land","เมือง, ประเทศ","Город, страна","Grad, zemlja","By, land","Grad, država",,"Mesto, država",,"Város, Ország","By, Land","Місто, країна","Città, Paese","Şehir, Ülke","Oraș, țară",,,"Město, země","Stad, land","Mesto, krajina",,
addressWork,Work,Work,Travail,Trabajo,직장,العمل,Trabalho,Arbete,Työpaikka,Работа,,Praca,公司,Εργασία,Arbeit,ที่ทำงาน,Работа,Posao,Jobb,Posao,,Služba,,Munkahely,Arbejde,Робота,Lavoro,İş,Serviciu,,,Práce,Werk,Práca,,
adjustFiltersVar,Try adjusting the filters to see more results.,Try adjusting the filters to see more results.,,,상세한 결과를 보려면 필터를 조정해 보십시오.,حاول ضبط أدوات التصفية لعرض المزيد من النتائج.,Tente ajustar os filtros para ver mais resultados.,Justera filtren för att få fler resultat.,Katso lisää tuloksia säätämällä suodattimia.,"Променете филтрите, за да получите още резултати.",Intente ajustar los filtros para ver más resultados.,"Spróbuj dostosować filtry, aby wyświetlić więcej wyników.",尝试调整筛选项以查看更多结果。,"Δοκιμάστε να προσαρμόσετε τα φίλτρα, για να δείτε περισσότερα αποτελέσματα.","Passen Sie die Filter an, um mehr Ergebnisse zu erhalten.",ลองเปลี่ยนตัวกรองเพื่อดูผลลัพธ์มากขึ้น,"Чтобы увидеть больше результатов, попытайтесь настроить фильтры.",Za više rezultata pokušajte prilagoditi filtre.,Prøv å justere filtrene for å se flere resultater.,Pokušajte da podesite filtere da biste videli druge rezultate.,Modifiez les filtres pour obtenir plus de résultats.,"Spremenite filtre, če želite prikazati več zadetkov.",Trate de ajustar los filtros para ver más resultados.,Próbáljon meg szűrőket beállítani a további eredmények megtekintéséhez.,Prøv at justere filtrene for at se flere resultater.,"Спробуйте відкоригувати фільтри, щоб показати більше результатів.",Tentare di regolare i filtri per vedere maggiori risultati.,Daha fazla sonuç görmek için filtreleri ayarlamayı deneyin.,Încercați să reglați filtrele pentru a vizualiza mai multe rezultate.,Try adjusting the filters to see more results.,,"Chcete-li zobrazit více výsledků, zkuste upravit filtry.",Probeer filters te veranderen om meer treffers te krijgen.,"Ak chcete zobraziť viac výsledkov, skúste upraviť filtre.",,Essayez de régler les filtres pour obtenir plus de résultats
advisor,Advisor,Advisor,Conseiller,Asesor,어드바이저,المستشار,Assistente,Rådgivare,Hlökoht. avust.,Съветник,,Doradca,客服顾问,Σύμβουλος,Berater,เจ้าหน้าที่,Консультант,Savjetnik,Rådgiver,Savetnik,,Svetovalec,,Tanácsadó,Rådgiver,Консультант,Operatore,Danışman,Consultant,,,Poradce,Adviseur,Poradca,,
airportItemLabel,Airports,Airports,Aéroports,Aeropuertos,공항,مطارات,Aeroportos,Flygplats,Lentoasemat,Летища,,Lotniska,机场,Αεροδρόμια,Flughäfen,สนามบิน,Аэропорты,Zračne luke,Flyplass,Aerodromi,,Letališča,,Reptér,Lufthavne,Аеропорти,Aeroporti,Havaalanları,Aeroport,,,Letiště,Vliegveld,Letisko,,
alertBetterRouteFound,Better route found,Better route found,Meilleur itinéraire trouvé,,대체 경로 찾음,تم العثور على مسار أفضل,Melhor percurso encontr.,En bättre rutt har hittats,Parempi reitti löytyi,Има по-добър маршрут,Mejor ruta encontrada,Znaleziono lepszą trasę,找到最佳路线,Βρέθηκε καλύτερη διαδρομή,Bessere Route gefunden,พบเส้นทางที่ดีกว่า,Найден лучший маршрут,Pronađena je bolja ruta,Har funnet en bedre rute,Pronađena je bolja ruta,,Najdena je bila boljša pot,Mejor ruta encontrada,Található jobb útvonal,En bedre rute er fundet,Знайдено кращий марш.,Trovato percorso migliore,Daha iyi bir rota bulundu,S-a găsit traseu mai bun,Better route found,,Nalezena lepší trasa,Betere route gevonden,Našla sa lepšia trasa,,
alertCentralLaneClose,Center Lane Closed,Center Lane Closed,Voie centrale fermée,Carril central cerrado,중앙 차선 폐쇄,الحارة الوسطى مغلقة,Via central fechada,Mittfilen stängd,Keskikaista suljettu,Затворена средна лента,,Środkowy pas zamknięty,中间车道封闭,Μεσαία λωρίδα τερματίζεται,Mittlere Spur gesperrt.,สิ้นสุดเลนตรงกลาง,Средняя полоса закрыта,Srednja traka zatvorena,Midtre felt stengt,Centralna traka je zatvo.,,Sredinski pas zaprt,,Középső sáv lezárva,Midterste vejbane slutter,Центр. смуга закрита,Corsia centrale chiusa,Orta Şerit Kapalı,Banda centrală se închide,,,Uzavř. prostř. jízdní pruh,Rijstrook midden dicht,Koniec stredového pruhu,,
alertLeftLaneEnd,Left Lane Ends,Left Lane Ends,,,좌측 차선 종료,اقتربتَ من نهاية الحارة اليسرى,Fim da via esquerda,Vänster fil slutar,Vasen kaista päättyy,Лявата лента свършва,Fin del carril izquierdo,Koniec lewego pasa,左侧车道终止,Αριστερή λωρίδα τερματίζεται,Linke Fahrspur endet.,สิ้นสุดเลนซ้าย,Конец левой полосы,Lijeva traka završava,Venstre felt slutter,Leva traka se završava,Fin de voie gauche,Levi pas se konča,Termina Carril Izquierdo,Bal sáv megszűnik,Venstre vejbane slutter,Кінець смуги ліворуч,Fine corsia sinistra,Sol Şerit Sona Eriyor,Banda stângă se termină,,,Levý jízdní pruh končí,Rijstrook links eindigt,Koniec ľavého pruhu,Termina Carril Izquierdo,Fin de la voie de gauche
alertMsgAccidentAhead,Accident Ahead,Accident Ahead,,,,,Acidente à Frente,Olycka framför i närheten,,,Accident devant,Wypadek,,Ατύχημα στην πορεία σας,Unfall voraus,,,,Ulykke lengere frem,,,,,,Ulykke Forude,,Incidente più avanti,,,,,,Ongeluk verderop,,,Accident devant
alertMsgCautionPotentialAccidentArea,Potential Accident Area,Potential Accident Area,,,사고 다발 구간,منطقة حوادث مرورية محتملة,Área acid potenciais,Potentiellt olycksomr.,Onnettomuusaltis alue,Зона с риск от ПТП,Zona posibles accidentes,Miejsce częstych wypad.,前方事故多发区域,Περιοχή δυνητικών ατυχημάτων,Erhöhte Unfallgefahr,บริเวณที่เกิดอุบัติเหตุได้ง่าย,Опасный участок!,Potenc. opasno podr.,Ulykkespunkt,Mesto pot. sao. nesr.,Zone d\'accident pot.,Nevaren odsek,Área Pot. de Accidentes,Balesetveszély,Poten. ulykkesområde,Небезпечна ділянка,Area critica incidenti,Olası Kaza Bölgesi,Zonă posib. accidente,,,Úsek častých nehod,Risico op ongevallen,Nehodový úsek,Área Pot. de Accidentes,Zone accid. potentiels
alertMsgCongestionAhead,Congestion Ahead,Congestion Ahead,,,전방에 교통정체 있음,أمامك اختناق مروري,Engarrafamento adiante,Trafikstockning längre fr.,Liikenneruuhkaa edessä,Задръстване напред,Congestión más adelante,Przed Tobą korek,前方拥堵,Συμφόρηση μπροστά,Stau vor Ihnen,,Впереди пробка,Prometni zastoj ispred,Trafikkork foran,Zagušenje ispred,Congestion devant,Približujete se zastoju,Congestión adelante,Torlódás az útvonalon,Tæt trafik forude,Попереду затор,Ingorgo in arrivo,İleride Tıkanıklık,Ambuteiaj în față.,,,Dopravní zácpa vpředu,Nadering opstopping,Pred vami je zápcha,Congestión adelante,Bouchon à proximité
